fecha,totalMb
2024-06-01,23780643625.265022
2024-06-02,23447785511.37295
2024-06-03,23511770568.657185
2024-06-04,23596902087.710342
2024-06-05,23685010499.638046
2024-06-06,23687616672.381714
2024-06-07,23870962757.569702
2024-06-08,23606623697.169567
2024-06-09,22992130820.38809
2024-06-10,23122406663.47873
2024-06-11,24107638873.086456
2024-06-12,24194085947.843567
2024-06-13,24342934051.012295
2024-06-14,24477898020.95951
2024-06-15,24204908993.957912
2024-06-16,23688877707.38844
2024-06-17,23609483452.46384
2024-06-18,23954286125.98032
2024-06-19,24032430947.327873
2024-06-20,24280902315.315624
2024-06-21,24381801393.178818
2024-06-22,24001008800.438465
2024-06-23,23573636481.66283
2024-06-24,23727566058.284416
2024-06-25,24188933175.664455
2024-06-26,24316751908.06436
2024-06-27,24353090053.969418
2024-06-28,24528575466.741463
2024-06-29,24433571991.16675
2024-06-30,23895434955.06108
2024-07-01,25126015159.04032
2024-07-02,24101455224.34453
2024-07-03,24335190430.007744
2024-07-04,24451064781.31848
2024-07-05,24569415078.741543
2024-07-06,25571610844.110065
2024-07-07,24675030561.849792
2024-07-08,24604704595.569447
2024-07-09,24879946233.080273
2024-07-10,25218549894.781975
2024-07-11,24756450693.220577
2024-07-12,24716655379.402897
2024-07-13,24783914088.30683
2024-07-14,23875335489.745464
2024-07-15,23804586029.477055
2024-07-16,24618257819.929462
2024-07-17,24476069770.6456
2024-07-18,24291021413.107742
2024-07-19,24726526346.655785
2024-07-20,24353155675.393856
2024-07-21,24011233252.971462
2024-07-22,24229656595.18772
2024-07-23,24402854427.869137
2024-07-24,24502855633.283424
2024-07-25,24571755660.692856
2024-07-26,24663851754.340305
2024-07-27,24379897567.171185
2024-07-28,24152087340.52656
2024-07-29,24252064422.592793
2024-07-30,24704956467.257538
2024-07-31,24695883771.651134
2024-08-01,25136973298.424698
2024-08-02,25151493484.28528
2024-08-03,24713085684.450977
2024-08-04,24500327291.46215
2024-08-05,24957694532.927834
2024-08-06,25205426997.236313
2024-08-07,25234158996.687424
2024-08-08,25215557269.1106
2024-08-09,25403174145.693783
2024-08-10,24933689495.24312
2024-08-11,24746494535.29396
2024-08-12,25081255686.655945
2024-08-13,25293708400.341328
2024-08-14,25239573798.738087
2024-08-15,25075568127.093807
2024-08-16,25020849621.939938
2024-08-17,24819233410.526302
2024-08-18,24466389169.33
2024-08-19,24685539350.61601
2024-08-20,24984007802.47548
2024-08-21,25051775017.97913
2024-08-22,25032839408.36896
2024-08-23,25314543538.295753
2024-08-24,24801398200.514496
2024-08-25,24059802963.276463
2024-08-26,24080070475.912
2024-08-27,24043253245.74811
2024-08-28,24417718373.890343
2024-08-29,24606715273.43448
2024-08-30,24584808864.95008
2024-08-31,24458888707.746857
